continent_tout,year,gdp_per_capita,lifeexp,total_ghg
Americas,1981,8892.672263395583,68.369375,NA
Americas,1982,8532.904600742379,68.8353125,NA
Americas,1983,8332.77590831553,68.8175,NA
Americas,1984,8528.533405559992,69.115,NA
Americas,1985,8530.624887096841,69.324375,NA
Americas,1986,8675.170516364626,69.8396875,NA
Americas,1987,8809.857541580604,70.02875,NA
Americas,1988,8871.170269748718,70.4246875,NA
Americas,1989,8880.746543682759,70.564375,NA
Americas,1990,8882.326157583766,70.90375,301.1090625
Americas,1991,8938.215615796913,71.1240625,301.0540625
Americas,1992,9136.293829430277,71.2921875,305.11843749999997
Americas,1993,9268.821991519098,71.300625,309.7796875
Americas,1994,9481.738201803722,71.5,315.284375
Americas,1995,9652.685095103141,71.6959375,319.4159375
Americas,1996,9884.19252343595,71.936875,327.8975
Americas,1997,10271.563395529009,72.1915625,339.5971875
Americas,1998,10542.513100470416,72.0215625,344.50375
Americas,1999,10629.596883961683,72.3928125,344.03
Americas,2000,10900.499528517528,72.77,350.5990625
Americas,2001,10922.350025999172,72.9775,354.9684375
Americas,2002,10963.78773734251,73.17875000000001,352.34875
Americas,2003,11227.094845661673,73.3115625,356.9603125
Americas,2004,11691.404277367325,73.4528125,363.104375
Americas,2005,12135.990410667033,73.7796875,366.2896875
Americas,2006,12734.49289055489,74.01625,364.4278125
Americas,2007,13232.780439070862,74.1909375,371.530625
Americas,2008,13550.731254199385,74.28875,365.9275
Americas,2009,13180.348073548072,74.36875,350.05125000000004
Americas,2010,13641.685688628697,73.651875,364.2365625
Americas,2011,14056.286727732606,74.6953125,328.8565625
Americas,2012,14317.890869489798,74.8384375,325.20875
Americas,2013,14742.292490687749,74.920625,331.3521875
Americas,2014,14902.868048729855,74.9665625,333.9309375
Americas,2015,15047.769615311874,75.01,330.4496875
Americas,2016,14909.145242961835,75.1671875,331.3859375
Americas,2017,14981.386128326021,75.26875,329.67375
Americas,2018,15052.475273258215,75.4109375,334.33375
Americas,2019,NA,75.4984375,330.7153125
Americas,2020,NA,74.51322580645162,NA
Americas,2021,NA,75.90161290322581,NA
Asia,1950,5207.953481225466,49.62466666666667,NA
Asia,1951,5453.840074445396,49.712,NA
Asia,1952,5581.428080934183,50.38511111111111,NA
Asia,1953,5917.660872979052,51.25,NA
Asia,1954,6311.844604758472,51.94111111111111,NA
Asia,1955,6209.355715140352,52.531555555555556,NA
Asia,1956,6337.474364287641,52.937333333333335,NA
Asia,1957,6273.695358140602,53.53955555555555,NA
Asia,1958,6196.338773730971,54.098,NA
Asia,1959,6400.431727145671,54.54377777777778,NA
Asia,1960,6448.160173767704,54.812,NA
Asia,1961,6305.006480699122,55.656888888888886,NA
Asia,1962,6343.403094317099,56.41288888888889,NA
Asia,1963,6319.09032375075,56.94822222222222,NA
Asia,1964,6319.988884283635,57.53888888888889,NA
Asia,1965,6353.925855868705,57.864444444444445,NA
Asia,1966,6781.505958661361,58.35333333333333,NA
Asia,1967,6990.067243384291,58.24688888888889,NA
Asia,1968,7254.253691947516,59.16155555555555,NA
Asia,1969,7274.823778957616,59.70066666666666,NA
Asia,1970,7598.0904772511685,59.79844444444444,NA
Asia,1971,7970.962164175502,60.172391304347826,NA
Asia,1972,8261.833022796867,60.71434782608696,NA
Asia,1973,8507.181770495907,60.57217391304348,NA
Asia,1974,8308.017864430825,61.13282608695652,NA
Asia,1975,7967.9905649296325,61.525,NA
Asia,1976,8180.518061074465,61.55130434782609,NA
Asia,1977,8087.619175353182,62.611739130434785,NA
Asia,1978,8141.746284443115,62.910000000000004,NA
Asia,1979,8441.315880504648,63.36913043478261,NA
Asia,1980,8533.850901894346,64.24913043478261,NA
Asia,1981,8287.936441821512,64.58326086956522,NA
Asia,1982,7988.604055851633,63.655869565217394,NA
Asia,1983,7902.558639509528,64.89173913043479,NA
Asia,1984,8005.9494743617715,65.33826086956522,NA
Asia,1985,7907.01407061933,65.68130434782609,NA
Asia,1986,7666.117231844469,65.87934782608696,NA
Asia,1987,7766.194980144967,66.49456521739131,NA
Asia,1988,7864.304007256771,66.41065217391305,NA
Asia,1989,7869.167252988901,67.1804347826087,NA
Asia,1990,7899.3978298357115,67.37478260869565,218.9334090909091
Asia,1991,7583.55041465956,67.5091304347826,225.46931818181818
Asia,1992,7785.799820698735,67.77978260869565,232.02022727272728
Asia,1993,8460.43017721609,67.8391304347826,240.27318181818183
Asia,1994,8824.244414833722,68.12782608695652,248.56568181818182
Asia,1995,9287.870392844296,68.20065217391304,262.5693181818182
Asia,1996,9748.358052378118,68.45173913043479,262.5961363636364
Asia,1997,10329.292880216934,68.72347826086957,288.41886363636365
Asia,1998,10579.891154725707,68.99673913043478,273.31363636363636
Asia,1999,10974.087028072301,69.29065217391305,274.0631818181818
Asia,2000,11789.153453596264,69.59978260869565,282.99886363636364
Asia,2001,12138.204768637323,69.98891304347826,288.63204545454545
Asia,2002,12743.492835512947,70.17869565217391,310.65204545454543
Asia,2003,13640.393341184375,70.54065217391305,322.5434090909091
Asia,2004,15002.429235478277,70.64195652173913,355.9825
Asia,2005,16001.737477923974,71.02913043478262,372.25636363636363
Asia,2006,17118.36447528422,71.25630434782609,403.7468181818182
Asia,2007,17976.629828559715,71.65,414.06386363636364
Asia,2008,18655.75280987198,71.75760869565218,425.4268181818182
Asia,2009,18765.78490433848,72.23173913043479,450.24545454545455
Asia,2010,20266.64080783607,72.63173913043478,470.98568181818183
Asia,2011,21836.856483940323,72.8958695652174,499.085
Asia,2012,22277.19386609452,73.04347826086956,514.0888636363636
Asia,2013,22427.03416670903,73.36434782608696,528.5263636363636
Asia,2014,22513.828265373908,73.4908695652174,544.5581818181818
Asia,2015,22565.518644151598,73.71695652173914,545.6702272727273
Asia,2016,22652.553038806534,73.86695652173913,543.8681818181818
Asia,2017,22809.586985142178,74.13804347826087,557.3306818181818
Asia,2018,23060.636606120315,74.42717391304348,577.5079545454546
Asia,2019,NA,74.65760869565217,590.9947727272727
Asia,2020,NA,74.38978260869565,NA
Asia,2021,NA,75.03369565217392,NA
Europe,1950,6496.901198923371,64.25108108108108,NA
Europe,1951,6697.411701325055,64.43837837837837,NA
Europe,1952,6094.298778704706,65.54405405405406,NA
Europe,1953,6313.339830701699,66.1527027027027,NA
Europe,1954,6566.3196109886485,66.87,NA
Europe,1955,6931.798106719944,67.02702702702703,NA
Europe,1956,7082.485288731329,67.41648648648649,NA
Europe,1957,7389.0487912167655,67.67027027027027,NA
Europe,1958,7502.37276521211,68.56972972972973,NA
Europe,1959,7821.097847370924,68.55540540540541,NA
Europe,1960,8157.915662067525,69.10594594594595,NA
Europe,1961,8536.659441607691,69.3945945945946,NA
Europe,1962,8829.371375360053,69.33972972972973,NA
Europe,1963,9223.314175807478,69.74297297297298,NA
Europe,1964,9774.13134462957,70.11918918918919,NA
Europe,1965,10102.86550514855,70.35486486486487,NA
Europe,1966,10451.469718633281,70.64486486486487,NA
Europe,1967,10744.217160288905,70.63837837837838,NA
Europe,1968,11128.324072063055,70.69135135135136,NA
Europe,1969,11732.884750585068,70.60891891891892,NA
Europe,1970,12270.250679882527,70.87621621621622,NA
Europe,1971,12750.879059411543,71.08594594594595,NA
Europe,1972,13319.59375652981,71.28405405405405,NA
Europe,1973,13373.18643938708,71.54702702702703,NA
Europe,1974,14325.499611023888,71.73135135135135,NA
Europe,1975,14356.387250039666,71.78,NA
Europe,1976,14853.539390726963,71.96864864864865,NA
Europe,1977,15319.013206736305,72.11702702702702,NA
Europe,1978,15808.678161173588,72.21351351351352,NA
Europe,1979,16339.251531136442,72.29702702702703,NA
Europe,1980,15764.823575127497,72.44567567567567,NA
Europe,1981,15840.658435413106,72.63405405405405,NA
Europe,1982,16005.804704482793,72.81594594594594,NA
Europe,1983,16180.90853113744,72.79837837837837,NA
Europe,1984,16562.894749835028,72.93513513513514,NA
Europe,1985,16802.47163441604,73.17837837837838,NA
Europe,1986,17293.74487953395,73.62297297297297,NA
Europe,1987,17610.33574918053,73.76756756756757,NA
Europe,1988,18071.248979405376,73.92621621621622,NA
Europe,1989,18566.83633200354,73.96081081081081,NA
Europe,1990,18477.784503480394,74.0608108108108,228.87675675675678
Europe,1991,18210.70011496447,74.02972972972972,224.3627027027027
Europe,1992,17728.37255052084,73.97864864864864,212.69054054054052
Europe,1993,17534.0945988174,73.90054054054055,202.2427027027027
Europe,1994,17955.442130974345,73.91162162162162,192.40621621621622
Europe,1995,18527.699649090304,73.91675675675675,190.80513513513512
Europe,1996,19140.562388792,74.49243243243244,191.74513513513514
Europe,1997,20054.331557193156,74.72837837837838,184.71864864864864
Europe,1998,20899.437855915752,75.01324324324324,183.2937837837838
Europe,1999,21689.448583907,75.14972972972973,181.13837837837838
Europe,2000,22810.151851571987,75.49756756756757,182.12054054054053
Europe,2001,23490.19769163492,75.67702702702702,171.55810810810812
Europe,2002,24127.167107355053,75.83837837837838,171.0072972972973
Europe,2003,24765.07241818921,76.02918918918918,176.50621621621622
Europe,2004,25855.677988311614,76.32216216216216,175.82972972972973
Europe,2005,26826.012712069387,76.4645945945946,175.09702702702702
Europe,2006,28093.303966436677,76.7627027027027,176.4718918918919
Europe,2007,29454.2625839912,76.97783783783784,175.43891891891892
Europe,2008,29781.80824217892,77.28297297297297,172.63054054054055
Europe,2009,28414.19317132354,77.62243243243243,158.52
Europe,2010,29049.968169110958,77.91027027027027,164.31864864864866
Europe,2011,29629.398562650207,78.21297297297298,159.79108108108107
Europe,2012,29522.199072212148,78.45270270270271,157.95
Europe,2013,29732.60769569421,78.69891891891892,154.30378378378379
Europe,2014,30280.793758324133,78.88702702702703,147.80297297297298
Europe,2015,30749.03854654242,78.99675675675675,147.04432432432432
Europe,2016,31174.400907017993,79.2045945945946,159.5837837837838
Europe,2017,32030.02103534217,79.38567567567567,159.81513513513514
Europe,2018,32862.135812727836,79.44162162162162,160.36324324324323
Europe,2019,NA,79.50675675675676,157.33027027027026
Europe,2020,NA,78.61333333333333,NA
Europe,2021,NA,79.71777777777778,NA
Oceania,1950,12700.503001920264,55.57222222222222,NA
Oceania,1951,12132.185043648115,55.233333333333334,NA
Oceania,1952,12152.578263466701,56.14111111111111,NA
Oceania,1953,12263.985512551755,56.61222222222222,NA
Oceania,1954,13207.501736284275,57.062222222222225,NA
Oceania,1955,13382.582939177139,56.871,NA
Oceania,1956,13657.075906993276,57.144,NA
Oceania,1957,13683.131365858611,57.714,NA
Oceania,1958,13965.130077446931,58.13,NA
Oceania,1959,14583.830893541905,58.441,NA
Oceania,1960,14570.907902789415,58.836,NA
Oceania,1961,14726.61969016644,58.22,NA
Oceania,1962,15012.745858502003,58.53272727272727,NA
Oceania,1963,15628.402888497098,58.87909090909091,NA
Oceania,1964,16217.781550315238,58.97666666666667,NA
Oceania,1965,16825.279644461152,59.58833333333333,NA
Oceania,1966,17272.193913391748,59.865,NA
Oceania,1967,17122.46237467645,60.145833333333336,NA
Oceania,1968,17352.322898137423,60.3725,NA
Oceania,1969,18478.439431027473,60.67166666666667,NA
Oceania,1970,18562.62235013253,60.928333333333335,NA
Oceania,1971,18998.917073773526,61.14833333333333,NA
Oceania,1972,19265.397548311637,61.3075,NA
Oceania,1973,20103.273632059536,61.69916666666666,NA
Oceania,1974,20579.852008757294,62.028333333333336,NA
Oceania,1975,20434.643253229417,62.178333333333335,NA
Oceania,1976,20875.567355291,62.70583333333333,NA
Oceania,1977,20332.45976305855,62.9925,NA
Oceania,1978,20551.685702833725,63.30583333333333,NA
Oceania,1979,21194.061581175556,63.57,NA
Oceania,1980,21327.73884989155,63.65833333333333,NA
Oceania,1981,22027.849635167324,63.76916666666666,NA
Oceania,1982,21940.307229756938,63.91916666666667,NA
Oceania,1983,21954.68074734887,64.11416666666666,NA
Oceania,1984,23002.164198928094,64.26916666666666,NA
Oceania,1985,23467.289713180893,64.26416666666667,NA
Oceania,1986,23731.9091623302,64.355,NA
Oceania,1987,24135.19469117551,64.4975,NA
Oceania,1988,24409.6950698009,64.72,NA
Oceania,1989,24809.4053268876,64.85166666666666,NA
Oceania,1990,24574.477685998972,64.88076923076923,48.42076923076923
Oceania,1991,23828.337499920806,64.99384615384615,48.47615384615384
Oceania,1992,24113.36747296206,65.15153846153846,48.69692307692308
Oceania,1993,25039.27487176821,65.25,48.893076923076926
Oceania,1994,26235.75172350894,65.44307692307692,49.54153846153846
Oceania,1995,27025.09570910045,65.52307692307693,50.51615384615385
Oceania,1996,27832.124427861767,65.58769230769231,50.46615384615385
Oceania,1997,28588.878119082838,65.56076923076924,52.5
Oceania,1998,29330.158588489805,65.69615384615385,53.40692307692308
Oceania,1999,30431.23741261766,65.71307692307693,56.66076923076923
Oceania,2000,31416.549660892917,65.60615384615384,58.16538461538462
Oceania,2001,31962.714059075544,65.98153846153846,58.89
Oceania,2002,33089.652346813775,66.08923076923077,58.80461538461539
Oceania,2003,33964.07183558134,66.18076923076923,53.10923076923077
Oceania,2004,35058.56279400055,66.32076923076923,57.10538461538461
Oceania,2005,35794.07442624896,66.47384615384615,54.27076923076923
Oceania,2006,36447.27379457109,66.6076923076923,57.95461538461539
Oceania,2007,37627.098190603036,66.70076923076923,57.823846153846155
Oceania,2008,37675.183883749465,66.84769230769231,55.47538461538461
Oceania,2009,37707.7080096829,66.68076923076923,56.61769230769231
Oceania,2010,38174.95555463959,67.19384615384615,54.316153846153846
Oceania,2011,38744.917280190726,67.34307692307692,57.223846153846154
Oceania,2012,39504.16800106572,67.50923076923077,57.44538461538461
Oceania,2013,39802.90313157598,67.71076923076923,50.956153846153846
Oceania,2014,40318.64975912082,67.85,52.300000000000004
Oceania,2015,40784.67680481037,68.01307692307692,52.41692307692308
Oceania,2016,41429.48765068177,68.16846153846154,58.466923076923074
Oceania,2017,41979.31544825238,68.31846153846153,62.32692307692307
Oceania,2018,42463.85893750158,68.30923076923077,61.91230769230769
Oceania,2019,NA,68.53076923076922,61.035384615384615
Oceania,2020,NA,69.68,NA
Oceania,2021,NA,69.91555555555556,NA
